,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist,Developer,Publisher,Year Released,Month Released,Game Type,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Total Sales,North American Sales,Japan Sales,PAL Sales,Other Sales,Console
24,Cyberpunk 2077,9-Dec-20,['CD Projekt RED'],3.3,1.5K,1500,"['Adventure', 'RPG', 'Shooter']",13000,1.5K,4.7K,2.9K,CD Projekt Red Studio,CD Projekt Red Studio,2020,Dec,AAA,Adventure,RPG,Shooter,,,,,,,,,"['PS4', 'PC', 'XOne']"
29,Marvel's Spider-Man,7-Sep-18,"['Insomniac Games', 'Sony Interactive Entertainment']",4.1,2.5K,2500,"['Adventure', 'Brawler']",21000,577,2.9K,2.2K,Insomniac Games,Sony Interactive Entertainment,2018,Sep,AAA,Adventure,Brawler,,,,,,,,,,['PS4']
30,Dark Souls III,24-Mar-16,"['Bandai Namco Entertainment', 'FromSoftware']",4.2,2.4K,2400,"['Adventure', 'RPG']",19000,851,4.3K,2.2K,From Software,Bandai Namco Entertainment,2016,Mar,AAA,Adventure,RPG,,,,,,,,,,"['PC', 'PS4', 'XOne']"
32,Super Mario 64,23-Jun-96,"['Nintendo', 'Nintendo EAD']",4.1,2.6K,2600,"['Adventure', 'Platform']",21000,463,2.5K,775,Nintendo EAD,Nintendo,1996,Jun,AAA,Adventure,Platform,,,,,,,,,,['N64']
33,Super Smash Bros. Ultimate,7-Dec-18,"['Sora', 'Nintendo']",4.1,2.5K,2500,"['Fighting', 'Platform']",25000,1.2K,1.1K,801,Bandai Namco Games,Nintendo,2018,Dec,AAA,Fighting,Platform,,,,,,,,,,['NS']
34,Cuphead,29-Sep-17,['Studio MDHR'],4.1,1.9K,1900,"['Arcade', 'Indie', 'Platform', 'Shooter']",18000,1.2K,4.5K,2.6K,Studio MDHR,Studio MDHR,2017,Sep,Indie,Arcade,Indie,Platform,Shooter,,,,,,,,"['PC', 'XOne', 'Series']"
35,Sekiro: Shadows Die Twice,22-Mar-19,"['FromSoftware', 'Activision']",4.4,2.3K,2300,"['Adventure', 'Brawler']",14000,919,4.8K,3.4K,From Software,Activision,2019,Mar,AAA,Adventure,Brawler,,,,,,,,,,"['PC', 'PS4', 'XOne']"
36,Final Fantasy VII,31-Jan-97,"['Square', 'Eidos Interactive']",4.2,2.9K,2900,"['Adventure', 'RPG', 'Turn Based Strategy']",15000,1.1K,5K,1.5K,Square,Sony Computer Entertainment,1997,Jan,AAA,Adventure,RPG,Turn Based Strategy,,,,,,,,,['PS']
37,Persona 4 Golden,15-Jun-12,"['NIS America', 'Atlus']",4.2,1.9K,1900,"['Adventure', 'RPG', 'Simulator', 'Visual Novel']",13000,1.5K,5.2K,2.2K,Atlus,Atlus,2012,Jun,AAA,Adventure,RPG,Simulator,Visual Novel,,,1.25,0.37,0.39,0.29,0.21,['PSV']
41,Super Mario Galaxy,1-Nov-07,"['Nintendo EAD', 'Nintendo']",4.3,2.7K,2700,"['Adventure', 'Platform']",21000,468,3.1K,1.2K,Nintendo EAD Tokyo,Nintendo,2007,Nov,AAA,Adventure,Platform,,,,,,,,,,['Wii']
42,Fallout: New Vegas,19-Oct-10,"['Obsidian Entertainment', 'Bandai Namco Entertainment']",4.3,2K,2000,"['RPG', 'Shooter']",16000,756,5K,1.4K,Obsidian Entertainment,Bethesda Softworks,2010,Oct,AAA,RPG,Shooter,,,,,3.17,1.54,0.1,1.04,0.49,"['PC', 'X360', 'PS3']"
43,Outer Wilds,28-May-19,"['Mobius Digital', 'Annapurna Interactive']",4.6,1.8K,1800,"['Adventure', 'Indie', 'Puzzle', 'Simulator']",7700,661,4.8K,3.1K,Mobius Digital,Annapurna Interactive,2019,May,Indie,Adventure,Indie,Puzzle,Simulator,,,,,,,,"['PS4', 'XOne', 'PC']"
44,Resident Evil 2,25-Jan-19,"['Capcom', 'Capcom Development Division 1']",4.3,2.5K,2500,"['Adventure', 'Shooter']",15000,585,3.6K,1.9K,Capcom,Capcom,2019,Jan,AAA,Adventure,Shooter,,,,,,,,,,"['XOne', 'PS4', 'PC']"
48,Stardew Valley,26-Feb-16,"['ConcernedApe', 'Chucklefish Games']",4.1,1.7K,1700,"['Indie', 'RPG', 'Simulator', 'Strategy']",20000,2K,3.6K,1.1K,ConcernedApe,Chucklefish,2016,Feb,Indie,Indie,RPG,Simulator,Strategy,,,,,,,,"['Series', 'PC']"
50,Silent Hill 2,24-Sep-01,"['Team Silent', 'Konami']",4.5,2.2K,2200,"['Adventure', 'Puzzle']",8600,282,2.9K,2.1K,KCET,Konami,2001,Sep,AAA,Adventure,Puzzle,,,,,1.28,0.62,,0.49,0.16,['PS2']
51,The Witcher 3: Wild Hunt,19-May-15,"['WB Games', 'CD Projekt RED']",4.3,2K,2000,"['Adventure', 'RPG']",17000,1.2K,6.1K,1.6K,CD Projekt Red Studio,Warner Bros. Interactive Entertainment,2015,May,AAA,Adventure,RPG,,,,,,,,,,"['PC', 'PS4', 'XOne']"
53,Doom Eternal,19-Mar-20,"['Bethesda Softworks', 'id Software']",4.2,1.9K,1900,['Shooter'],12000,738,4.6K,2.4K,id Software,Bethesda Softworks,2020,Mar,AAA,Shooter,,,,,,,,,,,"['PC', 'PS4', 'NS', 'XOne']"
54,The Elder Scrolls V: Skyrim,10-Nov-11,"['Bethesda Game Studios', 'Bethesda Softworks']",3.7,1.7K,1700,"['Adventure', 'RPG']",22000,589,3K,1K,Bethesda Game Studios,Bethesda Softworks,2011,Nov,AAA,Adventure,RPG,,,,,3.99,1.18,,2.25,0.56,"['X360', 'PS3', 'PC']"
56,Devil May Cry 5,8-Mar-19,"['Capcom', 'Capcom Development Division 1']",4.3,1.9K,1900,"['Adventure', 'Brawler']",12000,524,4.1K,2.4K,Capcom,Capcom,2019,Mar,AAA,Adventure,Brawler,,,,,,,,,,"['XOne', 'PC', 'PS4']"
58,Resident Evil 4,11-Jan-05,"['Capcom', 'Capcom Production Studio 4']",4.3,2.3K,2300,['Shooter'],14000,360,3K,1.2K,Capcom,Capcom,2005,Jan,AAA,Shooter,,,,,,,,,,,"['PS2', 'GC']"
59,Final Fantasy VII Remake,10-Apr-20,['Square Enix'],4.1,2K,2000,"['Adventure', 'RPG']",12000,898,4.2K,2.2K,Square Enix,Square Enix,2020,Apr,AAA,Adventure,RPG,,,,,,,,,,['PS4']
63,Dark Souls,22-Sep-11,"['FromSoftware', 'Bandai Namco Entertainment']",4.3,2.1K,2100,"['Adventure', 'RPG']",14000,447,2.5K,1.4K,From Software,Bandai Namco Entertainment,2011,Sep,AAA,Adventure,RPG,,,,,,,,,,"['PS3', 'X360']"
64,The Legend of Zelda: Ocarina of Time,21-Nov-98,"['Nintendo', 'Nintendo EAD']",4.3,2.2K,2200,"['Adventure', 'RPG']",17000,433,3K,1.4K,Nintendo EAD,Nintendo,1998,Nov,AAA,Adventure,RPG,,,,,,,,,,['N64']
67,Metal Gear Solid 2: Sons of Liberty,13-Nov-01,"['Konami Computer Entertainment Japan', 'Konami']",4.4,1.8K,1800,['Adventure'],10000,161,2.6K,1.4K,Konami Computer Entertainment Japan,Konami,2001,Nov,AAA,Adventure,,,,,,6.05,2.45,0.87,2.01,0.72,['PS2']
69,Death Stranding,8-Nov-19,"['Sony Interactive Entertainment', 'Kojima Productions']",3.9,1.6K,1600,"['Adventure', 'RPG', 'Shooter']",9400,934,4.8K,2.4K,Kojima Productions,Sony Interactive Entertainment,2019,Nov,AAA,Adventure,RPG,Shooter,,,,,,,,,['PS4']
71,Dark Souls: Remastered,23-May-18,"['Bandai Namco Entertainment', 'QLOC']",4.3,1.4K,1400,"['Adventure', 'RPG']",11000,786,2.6K,1.6K,From Software,Bandai Namco Entertainment,2018,May,AAA,Adventure,RPG,,,,,0.11,0.07,,0.03,0.01,"['PS4', 'PC', 'NS', 'XOne']"
73,Castlevania: Symphony of the Night,20-Mar-97,"['Konami', 'Konami Computer Entertainment Tokyo']",4.4,1.9K,1900,"['Adventure', 'Platform', 'RPG']",9100,316,3.4K,1.7K,Konami Computer Entertainment Tokyo,Konami,1997,Mar,AAA,Adventure,Platform,RPG,,,,1.27,0.58,0.21,0.4,0.08,['PS']
74,Super Metroid,19-Mar-94,"['Nintendo R&D1', 'Nintendo']",4.3,2.2K,2200,"['Adventure', 'Platform', 'Shooter']",11000,309,3K,907,Intelligent Systems,Nintendo,1994,Mar,AAA,Adventure,Platform,Shooter,,,,,,,,,['SNES']
75,Super Mario Bros.,13-Sep-85,"['Nintendo', 'Nintendo R&D4']",3.5,1.5K,1500,"['Adventure', 'Platform']",18000,59,733,237,Nintendo EAD,Nintendo,1985,Sep,AAA,Adventure,Platform,,,,,,,,,,['NES']
76,The Legend of Zelda: Majora's Mask,27-Apr-00,"['Nintendo', 'Nintendo EAD']",4.4,2.2K,2200,['Adventure'],13000,347,3.9K,1.8K,Nintendo EAD,Nintendo,2000,Apr,AAA,Adventure,,,,,,,,,,,['N64']
77,Star Wars Jedi: Fallen Order,15-Nov-19,"['Respawn Entertainment', 'Electronic Arts']",3.7,1.4K,1400,['Adventure'],13000,740,3.7K,1.3K,Respawn Entertainment,Electronic Arts,2019,Nov,AAA,Adventure,,,,,,,,,,,"['XOne', 'PS4', 'PC']"
78,The Last of Us,14-Jun-13,"['Naughty Dog', 'Sony Computer Entertainment']",4.2,2K,2000,"['Adventure', 'Shooter']",17000,205,2K,1.4K,Naughty Dog,Sony Interactive Entertainment,2013,Jun,AAA,Adventure,Shooter,,,,,,,,,,"['Series', 'PS3']"
79,Terraria,16-May-11,"['Re-Logic', 'Headup Games']",4,1.3K,1300,"['Adventure', 'Indie', 'Platform', 'RPG', 'Strategy']",18000,673,2.2K,593,Re-Logic,505 Games,2011,May,Indie,Adventure,Indie,Platform,RPG,Strategy,,,,,,,"['Series', 'PC']"
81,Metal Gear Solid V: The Phantom Pain,1-Sep-15,"['Konami', 'Kojima Productions']",3.8,1.5K,1500,"['Adventure', 'Shooter', 'Tactical']",14000,503,4.5K,1.2K,Kojima Productions,Konami,2015,Sep,AAA,Adventure,Shooter,Tactical,,,,,,,,,"['PS4', 'PC', 'XOne', 'X360', 'PS3']"
82,Overwatch,24-May-16,"['Blizzard Entertainment', 'Square Enix']",3.2,957,957,"['Shooter', 'Strategy']",19000,436,411,214,Blizzard Entertainment,Blizzard Entertainment,2016,May,AAA,Shooter,Strategy,,,,,0.92,0.37,,0.48,0.07,"['PS4', 'XOne', 'PC']"
83,Half-Life 2,16-Nov-04,"['Sierra Entertainment', 'Valve']",4.2,1.7K,1700,['Shooter'],15000,257,3.5K,1K,Valve Software,VU Games,2004,Nov,AAA,Shooter,,,,,,,,,,,['PC']
84,Fire Emblem: Three Houses,25-Jul-19,"['Intelligent Systems Co., Ltd.', 'Nintendo']",4,1.7K,1700,"['Adventure', 'RPG', 'Strategy', 'Tactical', 'Turn Based Strategy']",12000,1.1K,3.5K,1.5K,Intelligent Systems,Nintendo,2019,Jul,AAA,Adventure,RPG,Strategy,Tactical,Turn Based Strategy,,,,,,,['NS']
85,Grand Theft Auto: San Andreas,26-Oct-04,"['Rockstar Games', 'Rockstar North']",4.1,1.5K,1500,"['Adventure', 'Racing', 'Shooter']",19000,270,2.4K,742,Rockstar North,Rockstar Games,2004,Oct,AAA,Adventure,Racing,Shooter,,,,,,,,,['PS2']
88,Devil May Cry,23-Aug-01,"['Capcom Production Studio 4', 'Capcom']",3.5,1.2K,1200,['Brawler'],10000,286,2.5K,1.1K,Capcom,Capcom,2001,Aug,AAA,Brawler,,,,,,,,,,,"['Series', 'PS2']"
89,Mario Kart 8 Deluxe,28-Apr-17,"['Nintendo of America', 'Nintendo EPD']",4,1.5K,1500,"['Arcade', 'Racing']",19000,705,781,635,Nintendo EPD,Nintendo,2017,Apr,AAA,Arcade,Racing,,,,,,,,,,['NS']
92,Hotline Miami,23-Oct-12,"['Dennaton Games', 'Devolver Digital']",4,1.4K,1400,"['Arcade', 'Indie', 'Shooter']",14000,217,2.4K,928,Dennaton Games,Devolver Digital,2012,Oct,Indie,Arcade,Indie,Shooter,,,,,,,,,['PC']
97,Batman: Arkham Asylum,25-Aug-09,"['Eidos Interactive', 'Rocksteady Studios']",3.9,1.4K,1400,"['Adventure', 'Brawler']",17000,232,2.3K,672,Rocksteady Studios,Warner Bros. Interactive Entertainment,2009,Aug,AAA,Adventure,Brawler,,,,,,,,,,"['PS3', 'X360', 'PC']"
98,Super Mario Sunshine,19-Jul-02,"['Nintendo EAD', 'Nintendo']",3.7,1.7K,1700,"['Adventure', 'Platform']",14000,403,3.3K,1K,Nintendo EAD,Nintendo,2002,Jul,AAA,Adventure,Platform,,,,,,,,,,['GC']
99,Mother 3,20-Apr-06,"['HAL Laboratory', 'Nintendo']",4.5,1.6K,1600,"['RPG', 'Turn Based Strategy']",5700,287,3.6K,1.9K,Brownie Brown / HAL Laboratory / Nintendo SPD Production Group No. 3,Nintendo,2006,Apr,AAA,RPG,Turn Based Strategy,,,,,0.4,,0.39,,0.01,['GBA']
101,Xenoblade Chronicles: Definitive Edition,29-May-20,"['Monolith Soft', 'Nintendo']",4.3,1.4K,1400,['RPG'],7400,849,3.6K,1.9K,Monolith Soft,Nintendo,2020,May,AAA,RPG,,,,,,,,,,,['NS']
102,Half-Life,19-Nov-98,"['Sierra Entertainment', 'Valve']",4,1.3K,1300,"['Adventure', 'Puzzle', 'Shooter']",13000,322,2.9K,892,Valve Software,Sierra Entertainment,1998,Nov,AAA,Adventure,Puzzle,Shooter,,,,,,,,,['PC']
106,Sonic Mania,15-Aug-17,"['PagodaWest Games', 'Sega']",4,1.3K,1300,"['Adventure', 'Platform']",12000,399,3.5K,786,PagodaWest Games,Sega,2017,Aug,AAA,Adventure,Platform,,,,,0.13,0.09,,0.03,0.01,"['NS', 'PS4', 'PC', 'XOne']"
108,Left 4 Dead 2,17-Nov-09,"['Turtle Rock Studios', 'Valve']",3.9,1.1K,1100,['Shooter'],19000,279,1.5K,358,Certain Affinity / Valve Software,Electronic Arts,2009,Nov,AAA,Shooter,,,,,,0.36,,,0.32,0.04,"['X360', 'PC']"
110,Control,27-Aug-19,"['505 Games', 'Remedy Entertainment']",3.6,1.3K,1300,"['Adventure', 'Shooter']",9600,591,5.2K,1.3K,Remedy Entertainment,505 Games,2019,Aug,Indie,Adventure,Shooter,,,,,,,,,,"['PS4', 'PC', 'XOne']"
112,Batman: Arkham City,18-Oct-11,"['DC Entertainment', 'Rocksteady Studios']",4.1,1.6K,1600,"['Adventure', 'Brawler']",16000,192,2.7K,651,Rocksteady Studios,Warner Bros. Interactive Entertainment,2011,Oct,AAA,Adventure,Brawler,,,,,,,,,,"['PS3', 'X360', 'PC']"
113,Yakuza Kiwami,21-Jan-16,"['Sega', 'RyÅ« Ga Gotoku Studios']",3.7,1.2K,1200,"['Adventure', 'Brawler', 'RPG']",9700,439,3.4K,1K,Sega,Sega,2016,Jan,AAA,Adventure,Brawler,RPG,,,,0.13,,0.13,,,['PS3']
114,Phoenix Wright: Ace Attorney,15-Sep-05,"['Nintendo Australia', 'Capcom']",4.1,1.3K,1300,"['Adventure', 'Point-and-Click', 'Puzzle', 'Visual Novel']",12000,418,1.9K,1K,Capcom,Capcom,2005,Sep,AAA,Adventure,Point-and-Click,Puzzle,Visual Novel,,,0.93,0.44,0.39,0.05,0.05,['DS']
115,Team Fortress 2,9-Oct-07,"['Electronic Arts', 'Valve']",3.9,955,955,['Shooter'],16000,505,532,158,Valve Corporation,Valve Corporation,2007,Oct,AAA,Shooter,,,,,,,,,,,"['PS3', 'X360']"
116,Xenoblade Chronicles 2,1-Dec-17,"['Monolith Soft', 'Nintendo']",3.9,1.4K,1400,"['Adventure', 'RPG']",7400,453,2.7K,1.5K,Monolith Soft,Nintendo,2017,Dec,AAA,Adventure,RPG,,,,,,,,,,['NS']
119,Katana Zero,18-Apr-19,"['Askiisoft', 'Devolver Digital']",4.1,1.1K,1100,"['Adventure', 'Arcade', 'Indie', 'Platform', 'Strategy']",9300,189,2.1K,1.5K,Askiisoft,Devolver Digital,2019,Apr,Indie,Adventure,Arcade,Indie,Platform,Strategy,,,,,,,['PC']
120,Life is Strange,29-Jan-15,"[""DON'T NOD"", 'Square Enix']",3.4,1.4K,1400,"['Adventure', 'RPG']",15000,209,2.1K,817,DONTNOD Entertainment,Square Enix,2015,Jan,AAA,Adventure,RPG,,,,,,,,,,"['X360', 'PS3']"
121,Dark Souls II: Scholar of the First Sin,2-Apr-15,"['Bandai Namco Entertainment', 'FromSoftware']",3.5,988,988,"['Adventure', 'RPG']",11000,443,2.7K,994,From Software,Namco Bandai Games,2015,Apr,AAA,Adventure,RPG,,,,,0.28,0.19,,0.07,0.03,"['PS4', 'XOne']"
123,Shadow of the Colossus,18-Oct-05,"['Sony Computer Entertainment, Inc. (SCEI)', 'Team Ico']",4.4,1.5K,1500,"['Adventure', 'Platform', 'Puzzle']",10000,134,2.9K,1.7K,Team ICO,Sony Computer Entertainment,2005,Oct,AAA,Adventure,Platform,Puzzle,,,,1.14,0.78,0.2,0.03,0.13,['PS2']
128,Metal Gear Solid 3: Snake Eater,17-Nov-04,"['Konami Computer Entertainment Japan', 'Konami']",4.5,1.5K,1500,"['Adventure', 'Shooter', 'Tactical']",9200,118,2.4K,1.3K,KCEJ / Kojima Productions,Konami,2004,Nov,AAA,Adventure,Shooter,Tactical,,,,4.23,1.46,0.83,0.0,1.93,['PS2']
129,Journey,13-Mar-12,"['Sony Computer Entertainment', 'ThatGameCompany']",3.9,1.5K,1500,"['Adventure', 'Platform']",12000,94,2.7K,1.7K,thatgamecompany,Sony Computer Entertainment America,2012,Mar,AAA,Adventure,Platform,,,,,0.17,0.04,,0.11,0.01,['PSN']
130,Kingdom Hearts,28-Mar-02,"['Square', 'Disney Interactive Studios']",3.6,1.3K,1300,"['Adventure', 'RPG']",12000,266,2.1K,1K,Square,Square Enix,2002,Mar,AAA,Adventure,RPG,,,,,,,,,,"['Series', 'PS2']"
131,Titanfall 2,28-Oct-16,"['Respawn Entertainment', 'Electronic Arts']",4.1,1.3K,1300,"['Adventure', 'Shooter']",12000,163,2.1K,656,Respawn Entertainment,Electronic Arts,2016,Oct,AAA,Adventure,Shooter,,,,,0.2,0.06,,0.12,0.01,"['PS4', 'XOne', 'PC']"
132,Doom,10-Dec-93,"['Activision', 'id Software']",4,1.4K,1400,['Shooter'],11000,203,1.5K,514,id Software,id Software,1993,Dec,AAA,Shooter,,,,,,0.04,0.04,,0.0,0.0,['PC']
134,The Last of Us Remastered,26-Jul-14,"['Naughty Dog', 'Sony Computer Entertainment']",4.3,1.1K,1100,"['Adventure', 'Shooter']",12000,258,1.8K,682,Naughty Dog,Sony Computer Entertainment,2014,Jul,AAA,Adventure,Shooter,,,,,,,,,,['PS4']
135,Sonic the Hedgehog,23-Jun-91,"['Sonic Team', 'Sega']",3.1,1.1K,1100,['Platform'],12000,60,804,243,Sonic Team,Sega,1991,Jun,AAA,Platform,,,,,,,,,,,"['Series', 'GEN', 'MS', 'GG']"
137,Batman: Arkham Knight,23-Jun-15,"['Rocksteady Studios', 'Warner Bros. Interactive Entertainment']",3.7,1.2K,1200,"['Adventure', 'Brawler']",13000,279,3.4K,757,Rocksteady Studios,Warner Bros. Interactive Entertainment,2015,Jun,AAA,Adventure,Brawler,,,,,,,,,,"['PS4', 'XOne', 'PC']"
141,Wii Sports,19-Nov-06,"['Nintendo', 'Nintendo EAD Group No. 2']",3.7,775,775,"['Simulator', 'Sport']",18000,39,320,93,Nintendo EAD,Nintendo,2006,Nov,AAA,Simulator,Sport,,,,,,,,,,"['Series', 'Wii']"
143,Mario Kart Wii,10-Apr-08,"['Nintendo', 'Nintendo EAD']",3.9,1K,1000,['Racing'],19000,88,461,168,Nintendo EAD,Nintendo,2008,Apr,AAA,Racing,,,,,,,,,,,['Wii']
144,Resident Evil 3,3-Apr-20,"['K2', 'Capcom']",3.2,1.3K,1300,"['Adventure', 'Shooter']",8400,157,2.4K,1.6K,Capcom,Capcom,2020,Apr,AAA,Adventure,Shooter,,,,,,,,,,"['PS4', 'PC', 'XOne']"
146,Red Dead Redemption,18-May-10,"['Rockstar Games', 'Rockstar North']",4.2,1.5K,1500,"['Adventure', 'RPG', 'Shooter']",13000,218,2.4K,1.6K,Rockstar San Diego,Rockstar Games,2010,May,AAA,Adventure,RPG,Shooter,,,,,,,,,"['X360', 'XBL']"
151,Super Mario Galaxy 2,23-May-10,"['Nintendo EAD', 'Nintendo']",4.3,1.8K,1800,"['Adventure', 'Platform']",13000,123,2.5K,1.3K,Nintendo EAD Tokyo,Nintendo,2010,May,AAA,Adventure,Platform,,,,,,,,,,['Wii']
152,Donkey Kong Country,18-Nov-94,['Rare'],3.9,1.3K,1300,"['Adventure', 'Platform']",11000,186,1.9K,514,Rare Ltd.,Nintendo,1994,Nov,AAA,Adventure,Platform,,,,,,,,,,['SNES']
153,What Remains of Edith Finch,24-Apr-17,"['Annapurna Interactive', 'Giant Sparrow']",4,1.4K,1400,"['Adventure', 'Indie', 'Puzzle']",8600,61,2.2K,1.3K,Giant Sparrow,Unknown,2017,Apr,Indie,Adventure,Indie,Puzzle,,,,,,,,,['PS4']
157,Assassin's Creed II,17-Nov-09,"['Ubisoft Montreal', 'Ubisoft Entertainment']",3.8,1.3K,1300,"['Adventure', 'Platform']",16000,140,1.5K,521,Ubisoft Montreal,Ubisoft,2009,Nov,AAA,Adventure,Platform,,,,,5.3,3.14,0.08,1.55,0.52,"['PS3', 'X360']"
159,Dead Space,14-Oct-08,"['EA Redwood Shores', 'Electronic Arts']",4,1.2K,1200,['Shooter'],9600,302,2.7K,1.1K,EA Redwood Shores,Electronic Arts,2008,Oct,AAA,Shooter,,,,,,0.59,,,0.54,0.06,"['PS3', 'X360', 'PC']"
160,New Super Mario Bros.,15-May-06,['Nintendo'],3.5,991,991,"['Adventure', 'Platform']",16000,108,824,287,Nintendo EAD,Nintendo,2006,May,AAA,Adventure,Platform,,,,,,,,,,['DS']
161,Shadow of the Colossus,6-Feb-18,"['Sony Interactive Entertainment', 'Bluepoint Games']",4.1,1.1K,1100,"['Adventure', 'Platform', 'Puzzle']",7800,242,3.2K,1.6K,Bluepoint Games,Sony Interactive Entertainment,2018,Feb,AAA,Adventure,Platform,Puzzle,,,,1.2,0.44,0.05,0.52,0.19,['PS4']
163,God of War,22-Mar-05,"['SCE Santa Monica Studio', 'Sony Computer Entertainment']",3.6,981,981,"['Adventure', 'Brawler', 'Strategy']",11000,158,1.5K,896,SIE Santa Monica Studio,Sony Interactive Entertainment,2005,Mar,AAA,Adventure,Brawler,Strategy,,,,,,,,,"['Series', 'PS2']"
164,Detroit: Become Human,25-May-18,"['Quantic Dream', 'Sony Interactive Entertainment']",3.5,1K,1000,"['Adventure', 'Puzzle']",11000,216,2.2K,1.3K,Quantic Dream,Sony Interactive Entertainment,2018,May,AAA,Adventure,Puzzle,,,,,,,,,,['PS4']
165,Final Fantasy XV,29-Nov-16,['Square Enix'],3.3,1.1K,1100,"['Adventure', 'RPG']",11000,374,3.2K,1.1K,Square Enix,Square Enix,2016,Nov,AAA,Adventure,RPG,,,,,1.14,0.72,0.01,0.3,0.11,"['PS4', 'XOne']"
166,Persona 5 Strikers,20-Feb-20,"['Omega Force', 'Sega']",3.7,993,993,"['Adventure', 'Brawler', 'RPG']",5100,779,3.6K,1.6K,,,2020,Feb,AAA,Adventure,Brawler,RPG,,,,,,,,,"['PS4', 'NS']"
170,Killer7,9-Jun-05,"['Capcom', 'Grasshopper Manufacture']",4.3,1.2K,1200,"['Adventure', 'Shooter']",2800,237,2.5K,1.3K,Grasshopper Manufacture,Capcom,2005,Jun,AAA,Adventure,Shooter,,,,,0.09,0.04,0.0,0.03,0.01,"['GC', 'PS2']"
171,Grand Theft Auto IV,29-Apr-08,"['Rockstar North', 'Rockstar Games']",3.8,1.1K,1100,"['Adventure', 'Racing', 'Shooter']",14000,258,1.9K,721,Rockstar North,Rockstar Games,2008,Apr,AAA,Adventure,Racing,Shooter,,,,0.87,0.01,,0.8,0.06,"['X360', 'PS3', 'PC']"
172,Metroid: Zero Mission,9-Feb-04,"['Nintendo R&D1', 'Nintendo']",4,1.2K,1200,"['Adventure', 'Platform', 'Shooter']",7500,148,1.5K,700,Nintendo R&D1,Nintendo,2004,Feb,AAA,Adventure,Platform,Shooter,,,,0.84,0.6,,0.22,0.01,['GBA']
176,Halo 3,25-Sep-07,"['Bungie', 'Microsoft Game Studios']",4.2,1.6K,1600,['Shooter'],12000,101,1.5K,528,Bungie Studios,Microsoft Game Studios,2007,Sep,AAA,Shooter,,,,,,,,,,,['X360']
177,Metroid Fusion,17-Nov-02,"['Nintendo', 'Nintendo R&D1']",4,1.3K,1300,"['Adventure', 'Platform', 'Shooter']",7900,146,2K,799,Nintendo R&D1,Nintendo,2002,Nov,AAA,Adventure,Platform,Shooter,,,,,,,,,['GBA']
181,Far Cry 3,28-Nov-12,"['Ubisoft Entertainment', 'Ubisoft Montreal']",3.7,983,983,"['Adventure', 'Shooter']",14000,188,1.9K,660,Ubisoft Montreal,Ubisoft,2012,Nov,AAA,Adventure,Shooter,,,,,0.92,0.22,,0.64,0.06,"['PS3', 'X360', 'PC']"
185,Ori and the Blind Forest,11-Mar-15,"['Moon Studios', 'Microsoft Studios']",3.9,780,780,"['Adventure', 'Platform', 'Puzzle']",7900,260,2.9K,1.4K,Moon Studios,Microsoft Studios,2015,Mar,AAA,Adventure,Platform,Puzzle,,,,,,,,,"['XOne', 'PC']"
187,A Plague Tale: Innocence,14-May-19,"['Focus Entertainment', 'Asobo Studio']",3.7,852,852,"['Adventure', 'RPG']",5400,202,2.6K,1K,Asobo Studio,Focus Home Interactive,2019,May,AAA,Adventure,RPG,,,,,,,,,,"['PS4', 'PC', 'XOne']"
188,The Legend of Zelda: Link's Awakening,20-Sep-19,"['Nintendo', 'Grezzo']",3.9,1.1K,1100,['Adventure'],7600,387,2.8K,2K,Nintendo,Nintendo,2019,Sep,AAA,Adventure,,,,,,,,,,,['NS']
189,Assassin's Creed,13-Nov-07,"['Ubisoft Montreal', 'Ubisoft Entertainment']",2.9,801,801,"['Adventure', 'Platform']",13000,118,1.2K,496,Ubisoft,Ubisoft,2007,Nov,AAA,Adventure,Platform,,,,,,,,,,"['X360', 'PS3', 'Series']"
191,Call of Duty: Black Ops,9-Nov-10,"['Activision', 'Treyarch']",3.7,920,920,['Shooter'],14000,44,611,318,Treyarch,Activision,2010,Nov,AAA,Shooter,,,,,,0.59,0.5,,0.04,0.04,"['X360', 'PS3', 'PC', 'Wii', 'DS']"
199,Paper Mario: The Thousand-Year Door,22-Jul-04,"['Nintendo', 'Intelligent Systems Co., Ltd.']",4.4,1.3K,1300,"['Adventure', 'RPG', 'Turn Based Strategy']",6700,187,2.9K,1.5K,Intelligent Systems,Nintendo,2004,Jul,AAA,Adventure,RPG,Turn Based Strategy,,,,,,,,,['GC']
200,God of War II,13-Mar-07,"['Sony Computer Entertainment, Inc. (SCEI)', 'SIE Santa Monica Studio']",4,936,936,"['Adventure', 'Brawler', 'Platform']",9300,89,1.3K,687,SCEA Santa Monica Studio,Sony Computer Entertainment,2007,Mar,AAA,Adventure,Brawler,Platform,,,,,,,,,['PS2']
201,Mass Effect 2,26-Jan-10,"['BioWare', 'Electronic Arts']",4.3,1.3K,1300,"['Adventure', 'RPG', 'Shooter']",9600,107,1.9K,645,BioWare Edmonton,Electronic Arts,2010,Jan,AAA,Adventure,RPG,Shooter,,,,0.39,0.01,,0.32,0.05,"['X360', 'PC']"
